,Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light Heavyweight,Heavyweight,P4P
0,Deiveson Figueiredo,Petr Yan,Alexander Volkanovski,Khabib Nurmagomedov,Kamaru Usman,Israel Adesanya,Jan Blachowicz,Stipe Miocic,-
1,Joseph Benavidez,Aljamain Sterling,Max Holloway,Justin Gaethje,Colby Covington,Robert Whittaker,Thiago Santos,Francis Ngannou,Khabib Nurmagomedov
2,Brandon Moreno,Cory Sandhagen,Brian Ortega,Dustin Poirier,Gilbert Burns,Paulo Costa,Dominick Reyes,Curtis Blaydes,Jon Jones
3,Askar Askarov,Marlon Moraes,Zabit Magomedsharipov,Tony Ferguson,Leon Edwards,Jared Cannonier,Glover Teixeira,Jairzinho Rozenstruik,Israel Adesanya
4,Alex Perez,Cody Garbrandt,Yair Rodriguez,Conor McGregor,Jorge Masvidal,Jack Hermansson,Aleksandar Rakic,Derrick Lewis,Stipe Miocic
5,Alexandre Pantoja,Frankie Edgar,Chan Sung Jung,Dan Hooker,Stephen Thompson,Yoel Romero,Jiri Prochazka,Alistair Overeem,Kamaru Usman
6,Brandon Royval,Pedro Munhoz,Calvin Kattar,Charles Oliveira,Demian Maia,Darren Till,Volkan Oezdemir,Alexander Volkov,Alexander Volkanovski
7,Jussier Formiga,Jose Aldo,Josh Emmett,Paul Felder,Tyron Woodley,Derek Brunson,Anthony Smith,Junior Dos Santos,Dustin Poirier
8,Kai Kara France,Jimmie Rivera,Jeremy Stephens,Diego Ferreira,Michael Chiesa,Kelvin Gastelum,Nikita Krylov,Shamil Abdurakhimov,Max Holloway
9,Rogerio Bontorin,Raphael Assuncao,Arnold Allen,Al Iaquinta,Neil Magny,Chris Weidman,Johnny Walker,Augusto Sakai,Petr Yan
10,Matt Schnell,Dominick Cruz,Sodiq Yusuff,Kevin Lee,Vicente Luque,Uriah Hall,Misha Cirkunov,Aleksei Oleinik,Justin Gaethje
11,Raulian Paiva,Rob Font,Shane Burgos,Beneil Dariush,Geoff Neal,Edmen Shahbazyan,Magomed Ankalaev,Walt Harris,Conor McGregor
12,David Dvorak,Merab Dvalishvili,Dan Ige,Islam Makhachev,Rafael Dos Anjos,Brad Tavares,Ryan Spann,Sergei Pavlovich,Robert Whittaker
13,Tim Elliott,Cody Stamann,Ryan Hall,Gregor Gillespie,Nate Diaz,Omari Akhmedov,Jim Crute,Ciryl Gane,Tony Ferguson
14,Tyson Nam,Song Yadong,Edson Barboza,Drew Dober,Anthony Pettis,Marvin Vettori,Mauricio Rua,Blagoy Ivanov,Deiveson Figueiredo
15,Jordan Espinosa,Marlon Vera,Bryce Mitchell,Donald Cerrone,Robbie Lawler,Ian Heinisch,Paul Craig,Marcin Tybura,Francis Ngannou
